"run","propB","randomSeed","propA","propO","numeroAgentes","propAB"
1,0.09,1,0.27,0.62,50,0.02
5,0.09,5,0.27,0.62,50,0.02
9,0.09,9,0.27,0.62,50,0.02
13,0.09,13,0.27,0.62,50,0.02
17,0.09,17,0.27,0.62,50,0.02
21,0.09,21,0.27,0.62,50,0.02
25,0.09,25,0.27,0.62,50,0.02
2,0.09,2,0.27,0.62,50,0.02
6,0.09,6,0.27,0.62,50,0.02
10,0.09,10,0.27,0.62,50,0.02
14,0.09,14,0.27,0.62,50,0.02
18,0.09,18,0.27,0.62,50,0.02
22,0.09,22,0.27,0.62,50,0.02
3,0.09,3,0.27,0.62,50,0.02
7,0.09,7,0.27,0.62,50,0.02
11,0.09,11,0.27,0.62,50,0.02
15,0.09,15,0.27,0.62,50,0.02
19,0.09,19,0.27,0.62,50,0.02
23,0.09,23,0.27,0.62,50,0.02
4,0.09,4,0.27,0.62,50,0.02
8,0.09,8,0.27,0.62,50,0.02
12,0.09,12,0.27,0.62,50,0.02
16,0.09,16,0.27,0.62,50,0.02
20,0.09,20,0.27,0.62,50,0.02
24,0.09,24,0.27,0.62,50,0.02
