"run","randomSeed","propB","propA","propO","numeroAgentes","propAB"
1,1,0.09,0.27,0.62,50,0.02
5,3,0.09,0.27,0.62,50,0.02
9,5,0.09,0.27,0.62,50,0.02
13,7,0.09,0.27,0.62,50,0.02
17,9,0.09,0.27,0.62,50,0.02
21,11,0.09,0.27,0.62,50,0.02
25,13,0.09,0.27,0.62,50,0.02
29,15,0.09,0.27,0.62,50,0.02
33,17,0.09,0.27,0.62,50,0.02
37,19,0.09,0.27,0.62,50,0.02
41,21,0.09,0.27,0.62,50,0.02
45,23,0.09,0.27,0.62,50,0.02
49,25,0.09,0.27,0.62,50,0.02
2,1,0.15,0.3,0.5,50,0.05
6,3,0.15,0.3,0.5,50,0.05
10,5,0.15,0.3,0.5,50,0.05
14,7,0.15,0.3,0.5,50,0.05
18,9,0.15,0.3,0.5,50,0.05
22,11,0.15,0.3,0.5,50,0.05
26,13,0.15,0.3,0.5,50,0.05
30,15,0.15,0.3,0.5,50,0.05
34,17,0.15,0.3,0.5,50,0.05
38,19,0.15,0.3,0.5,50,0.05
42,21,0.15,0.3,0.5,50,0.05
46,23,0.15,0.3,0.5,50,0.05
50,25,0.15,0.3,0.5,50,0.05
3,2,0.09,0.27,0.62,50,0.02
7,4,0.09,0.27,0.62,50,0.02
11,6,0.09,0.27,0.62,50,0.02
15,8,0.09,0.27,0.62,50,0.02
19,10,0.09,0.27,0.62,50,0.02
23,12,0.09,0.27,0.62,50,0.02
27,14,0.09,0.27,0.62,50,0.02
31,16,0.09,0.27,0.62,50,0.02
35,18,0.09,0.27,0.62,50,0.02
39,20,0.09,0.27,0.62,50,0.02
43,22,0.09,0.27,0.62,50,0.02
47,24,0.09,0.27,0.62,50,0.02
4,2,0.15,0.3,0.5,50,0.05
8,4,0.15,0.3,0.5,50,0.05
12,6,0.15,0.3,0.5,50,0.05
16,8,0.15,0.3,0.5,50,0.05
20,10,0.15,0.3,0.5,50,0.05
24,12,0.15,0.3,0.5,50,0.05
28,14,0.15,0.3,0.5,50,0.05
32,16,0.15,0.3,0.5,50,0.05
36,18,0.15,0.3,0.5,50,0.05
40,20,0.15,0.3,0.5,50,0.05
44,22,0.15,0.3,0.5,50,0.05
48,24,0.15,0.3,0.5,50,0.05
